# id	length	introns	RNAseq	isoforms	strand
ch.1685	912	1	521362	175865	+
ch.370	710	1	144299	3432	+
ch.3633	754	2	43997	191361	+
ch.17852	886	2	184379	58820	+
ch.230	890	1	42997	236637	+
ch.12125	841	1	22423	12999	+
ch.4393	848	1	289274	155678	+
ch.19851	679	1	251228	6047	+
ch.1627	723	1	2090560	70622	+
ch.17803	882	1	65685	18760	+
ch.19987	648	1	11108	4087	+
ch.4214	674	2	299659	9053	+
ch.16979	716	1	436152	148	+
ch.4354	719	1	25915	15478	+
ch.3656	817	1	72578	142498	+
ch.5505	851	1	633316	124621	+
ch.3149	540	1	92735	81	+
ch.5445	981	3	375142	934617	+
ch.5886	825	1	201855	74333	+
ch.9621	706	1	14306	5181	+
ch.9862	984	1	3976180	228991	+
ch.13952	683	2	147818	25026	+
ch.16134	819	1	37310	149850	+
ch.5964	817	1	153070	51233	+
ch.5667	970	2	1409340	261369	+
ch.9833	943	1	100282	65720	+
ch.13507	675	1	16546	4577	+
ch.18370	656	1	1456100	75	+
ch.14227	788	1	53978	159485	+
ch.2180	584	1	46695	915	+
ch.5471	1017	1	13321	640600	+
ch.1078	703	2	358889	3611	+
ch.14276	908	2	583577	776826	+
ch.16151	520	1	71143	43	+
ch.12789	823	1	30197	60383	+
ch.18292	971	2	183275	46265	+
ch.14005	709	2	42167	7267	+
ch.13675	570	1	14374	1829	+
ch.9846	905	2	11810	918683	+
ch.11770	1044	1	28382	741082	+
ch.7954	720	2	1452000	901	+
ch.7746	870	2	45655	99021	+
ch.11661	734	2	636447	130710	+
ch.7597	905	3	607587	247247	+
ch.5461	760	1	17048	114630	+
ch.2250	960	3	55889	456185	+
ch.9823	817	3	115641	291109	+
ch.2157	554	1	21360	283	+
ch.13942	787	2	409125	163678	+
ch.11426	562	1	14643	612	+
ch.18185	757	1	28859	4553	+
ch.10958	760	1	156074	60504	+
ch.5684	779	1	681403	14781	+
ch.11228	854	2	25195	129759	+
ch.15922	731	2	81204	166385	+
ch.6090	936	2	11206	225080	+
ch.17557	903	1	89131	37319	+
ch.2619	1036	1	43959	442400	+
ch.5139	1085	1	409403	555630	+
ch.3831	831	2	16101	41302	+
ch.4383	876	2	361028	638678	+
ch.15856	933	2	258999	652065	+
ch.4103	862	1	1351070	537319	+
ch.15947	614	1	55453	373	+
ch.10092	966	2	35564	271226	+
ch.10372	745	1	864138	73611	+
ch.7139	974	2	245624	592101	+
ch.162	776	1	1656890	41297	+
ch.6344	617	1	29934	1313	+
ch.1646	1041	2	708288	287573	+
ch.15827	712	1	49380	50498	+
ch.15635	899	1	32547	177187	+
ch.13339	805	2	40706	62936	+
