# id	length	introns	RNAseq	isoforms
ch.1685	912	1	521362	630945
ch.370	710	1	144299	4719
ch.3633	754	2	43997	705959
ch.17852	886	2	184379	120541
ch.230	890	1	42997	843143
ch.12125	841	1	22423	23339
ch.4393	848	1	289274	359087
ch.19851	679	1	251228	6817
ch.1627	723	1	2090560	109963
ch.17803	882	1	65685	26503
ch.19987	648	1	11108	4207
ch.4214	674	2	299659	25671
ch.16979	716	1	436152	148
ch.4354	719	1	25915	32144
ch.3656	817	1	72578	406801
ch.1801	822	1	55526	355152
ch.5505	851	1	633316	262595
ch.3149	540	1	92735	85
ch.5886	825	1	201855	197039
ch.9621	706	1	14306	6385
ch.9862	984	1	3976180	1247579
ch.13952	683	2	147818	33615
ch.16134	819	1	37310	545581
ch.5964	817	1	153070	109781
ch.5667	970	2	1409340	4681251
ch.9833	943	1	100282	187791
ch.18077	1057	4	643675	1330683
ch.13507	675	1	16546	5069
ch.18370	656	1	1456100	75
ch.14227	788	1	53978	426721
ch.2180	584	1	46695	929
ch.5471	1017	1	13321	7723399
ch.1078	703	2	358889	3899
ch.18043	825	2	1785480	2459708
ch.16151	520	1	71143	43
ch.12789	823	1	30197	127649
ch.18292	971	2	183275	111449
ch.14005	709	2	42167	8807
ch.8579	890	1	66428	2041586
ch.13675	570	1	14374	2065
ch.7954	720	2	1452000	901
ch.7746	870	2	45655	244547
ch.11661	734	2	636447	436302
ch.7597	905	3	607587	1224106
ch.5461	760	1	17048	280921
ch.2250	960	3	55889	5742935
ch.9823	817	3	115641	1780533
ch.2157	554	1	21360	313
ch.17359	956	1	50095	613
ch.13942	787	2	409125	459215
ch.11426	562	1	14643	688
ch.18185	757	1	28859	4553
ch.10958	760	1	156074	114974
ch.5684	779	1	681403	16989
ch.11228	854	2	25195	341529
ch.15922	731	2	81204	409509
ch.6090	936	2	11206	869671
ch.17557	903	1	89131	46615
ch.2619	1036	1	43959	6625151
ch.3831	831	2	16101	85039
ch.15856	933	2	258999	6534623
ch.4103	862	1	1351070	4252355
ch.15947	614	1	55453	373
ch.15526	774	1	2873300	61784
ch.10092	966	2	35564	1752385
ch.10372	745	1	864138	140849
ch.7139	974	2	245624	9658109
